группа деканата;псевдоним
2012.О.5.П.ИЮ.15.Б;ИЮ415Б_2016
2012.О.5.П.ИЮ.16.Б;ИЮ416Б_2016
2012.О.5.П.ИЮ.17.Б;ИЮ417Б_2016
2012.О.5.П.ИЮ.18.Б;ИЮ418Б_2016
2012.О.5.П.ИЮ.19.Б;ИЮ419Б_2016
2012.О.5.П.ИЮ.20.Б;ИЮ420Б_2016
2012.О.5.П.ИЮ.411.Б;ИЮ411С(б)
2012.О.5.П.ИЮ.412.Б;ИЮ412С(б)
2012.О.5.П.ИЮ.413.Б;ИЮ413С(б)
2012.О.5.П.ИЮ.414.Б;ИЮ414С(б)
2012.О.5.П.Уфа.1.Б;3.2 СО_2012
2012.О.5.СОП.ИЗиУО.65.Б;465-2015
2013.В.5.ВВ.ВФ.4.Б;44
2013.В.5.ВВ.ВФ.5.Б;45
2013.В.5.ВВ.ФДО.1.ДПО;Переводчики_2015
2013.В.5.П.ВФ.1.Б;51
2013.В.5.П.ВФ.2.Б;52
2013.В.5.П.ВФ.3.Б;53
2013.В.5.П.ФДО.1.ДПО;Бухгалтеры_2015
2013.В.5.П.ФДО.2.ДПО;Психологи_2015
2013.В.5.П.ФДО.3.ДПО;Юристы_2015
2013.В.5.СОП.ИЗиУО.8.Б;48
2013.З.5.ВВ.ИГиМП.45.Б;445_2016
2013.З.5.ВВ.ИЗиУО.24.Б;424
2013.З.5.П.ИГиМП.40.Б;540
2013.З.5.П.ИЗиУО.1.Б;501
2013.З.5.П.ИЗиУО.2.Б;502
2013.З.5.П.ИЗиУО.3.Б;503
2013.З.5.П.ИЗиУО.4.Б;504
2013.З.5.П.Уфа.1.Б;3.1 СО_2012
2013.З.5.П.Уфа.2.Б;СПЗ_2011
2013.З.5.П.ФСПО.2.СПО;42-З
2013.З.5.СОП.ИЗиУО.11.Б;411_2017
2013.З.5.СОП.ИЗиУО.12.Б;412_2017
2013.З.5.СОП.ИЗиУО.13.Б;413_2017
2013.О.34.П.ИПиП.6.С;726_2016
2013.О.5.П.ИГиМП.1.Б;434.2013
2013.О.5.П.ИГиМП.30.Б;430.2017
2013.О.5.П.ИГиМП.31.Б;431.2017
2013.О.5.П.ИГиМП.32.Б;432.2017
2013.О.5.П.ИГиМП.33.Б;433.2017
2013.О.5.П.ИГиМП.34.Б;434.2017
2013.О.5.П.ИП.1.Б;401 ИП
2013.О.5.П.ИП.10.Б;410 ИП
2013.О.5.П.ИП.11.Б;411 ИП
2013.О.5.П.ИП.12.Б;412 ИП
2013.О.5.П.ИП.13.Б;413 ИП
2013.О.5.П.ИП.14.Б;414 ИП
2013.О.5.П.ИП.15.Б;415 ИП
2013.О.5.П.ИП.16.Б;416 ИП
2013.О.5.П.ИП.2.Б;402 ИП
2013.О.5.П.ИП.3.Б;403 ИП
2013.О.5.П.ИП.4.Б;404 ИП
2013.О.5.П.ИП.5.Б;405 ИП
2013.О.5.П.ИП.6.Б;406 ИП
2013.О.5.П.ИП.7.Б;407 ИП
2013.О.5.П.ИП.8.Б;408 ИП
2013.О.5.П.ИП.9.Б;409 ИП
2013.О.5.П.ИПиП.23.Б;423_2017
2013.О.5.П.ИПиП.24.Б;424_2017
